states,actions
"[[0.866      0.452      0.         0.         0.97875655]
 [0.869      0.456      0.         0.         0.9828026 ]
 [0.872      0.461      0.         0.         0.98738191]
 [0.874      0.465      0.         0.         0.99196963]
 [0.877      0.469      0.         0.         0.99912627]]",[[0.2   0.192]]
"[[0.869      0.456      0.         0.         0.9828026 ]
 [0.872      0.461      0.         0.         0.98738191]
 [0.874      0.465      0.         0.         0.99196963]
 [0.877      0.469      0.         0.         0.99912627]
 [0.88       0.473      0.         0.         1.00373432]]",[[0.2   0.192]]
"[[0.872      0.461      0.         0.         0.98738191]
 [0.874      0.465      0.         0.         0.99196963]
 [0.877      0.469      0.         0.         0.99912627]
 [0.88       0.473      0.         0.         1.00373432]
 [0.882      0.477      0.         0.         1.00835083]]",[[0.2   0.192]]
"[[0.874      0.465      0.         0.         0.99196963]
 [0.877      0.469      0.         0.         0.99912627]
 [0.88       0.473      0.         0.         1.00373432]
 [0.882      0.477      0.         0.         1.00835083]
 [0.885      0.481      0.         0.         1.0129758 ]]",[[0.2   0.192]]
"[[0.877      0.469      0.         0.         0.99912627]
 [0.88       0.473      0.         0.         1.00373432]
 [0.882      0.477      0.         0.         1.00835083]
 [0.885      0.481      0.         0.         1.0129758 ]
 [0.887      0.485      0.         0.         1.01760925]]",[[0.2   0.192]]
"[[0.88       0.473      0.         0.         1.00373432]
 [0.882      0.477      0.         0.         1.00835083]
 [0.885      0.481      0.         0.         1.0129758 ]
 [0.887      0.485      0.         0.         1.01760925]
 [0.89       0.489      0.         0.         1.02174109]]",[[0.2   0.192]]
"[[0.882      0.477      0.         0.         1.00835083]
 [0.885      0.481      0.         0.         1.0129758 ]
 [0.887      0.485      0.         0.         1.01760925]
 [0.89       0.489      0.         0.         1.02174109]
 [0.892      0.493      0.         0.         1.0263934 ]]",[[0.2   0.192]]
"[[0.885      0.481      0.         0.         1.0129758 ]
 [0.887      0.485      0.         0.         1.01760925]
 [0.89       0.489      0.         0.         1.02174109]
 [0.892      0.493      0.         0.         1.0263934 ]
 [0.895      0.498      0.         0.         1.03105426]]",[[0.2   0.192]]
"[[0.887      0.485      0.         0.         1.01760925]
 [0.89       0.489      0.         0.         1.02174109]
 [0.892      0.493      0.         0.         1.0263934 ]
 [0.895      0.498      0.         0.         1.03105426]
 [0.897      0.502      0.         0.         1.03572369]]",[[0.2   0.192]]
"[[0.89       0.489      0.         0.         1.02174109]
 [0.892      0.493      0.         0.         1.0263934 ]
 [0.895      0.498      0.         0.         1.03105426]
 [0.897      0.502      0.         0.         1.03572369]
 [0.9        0.506      0.         0.         1.04040169]]",[[0.2   0.192]]
"[[0.892      0.493      0.         0.         1.0263934 ]
 [0.895      0.498      0.         0.         1.03105426]
 [0.897      0.502      0.         0.         1.03572369]
 [0.9        0.506      0.         0.         1.04040169]
 [0.902      0.51       0.         0.         1.04508825]]",[[0.2   0.192]]
"[[0.895      0.498      0.         0.         1.03105426]
 [0.897      0.502      0.         0.         1.03572369]
 [0.9        0.506      0.         0.         1.04040169]
 [0.902      0.51       0.         0.         1.04508825]
 [0.905      0.514      0.         0.         1.04978339]]",[[0.2   0.192]]
"[[0.897      0.502      0.         0.         1.03572369]
 [0.9        0.506      0.         0.         1.04040169]
 [0.902      0.51       0.         0.         1.04508825]
 [0.905      0.514      0.         0.         1.04978339]
 [0.907      0.519      0.         0.         1.05399034]]",[[0.2   0.192]]
"[[0.9        0.506      0.         0.         1.04040169]
 [0.902      0.51       0.         0.         1.04508825]
 [0.905      0.514      0.         0.         1.04978339]
 [0.907      0.519      0.         0.         1.05399034]
 [0.91       0.523      0.         0.         1.05870487]]",[[0.2   0.192]]
"[[0.902      0.51       0.         0.         1.04508825]
 [0.905      0.514      0.         0.         1.04978339]
 [0.907      0.519      0.         0.         1.05399034]
 [0.91       0.523      0.         0.         1.05870487]
 [0.912      0.527      0.         0.         1.06342801]]",[[0.2   0.192]]
"[[0.905      0.514      0.         0.         1.04978339]
 [0.907      0.519      0.         0.         1.05399034]
 [0.91       0.523      0.         0.         1.05870487]
 [0.912      0.527      0.         0.         1.06342801]
 [0.914      0.531      0.         0.         1.06815977]]",[[0.2   0.192]]
"[[0.907      0.519      0.         0.         1.05399034]
 [0.91       0.523      0.         0.         1.05870487]
 [0.912      0.527      0.         0.         1.06342801]
 [0.914      0.531      0.         0.         1.06815977]
 [0.917      0.536      0.         0.         1.07290014]]",[[0.2   0.191]]
"[[0.91       0.523      0.         0.         1.05870487]
 [0.912      0.527      0.         0.         1.06342801]
 [0.914      0.531      0.         0.         1.06815977]
 [0.917      0.536      0.         0.         1.07290014]
 [0.919      0.54       0.         0.         1.07716323]]",[[0.2   0.191]]
"[[0.912      0.527      0.         0.         1.06342801]
 [0.914      0.531      0.         0.         1.06815977]
 [0.917      0.536      0.         0.         1.07290014]
 [0.919      0.54       0.         0.         1.07716323]
 [0.921      0.544      0.         0.         1.08192331]]",[[0.2   0.191]]
"[[0.914      0.531      0.         0.         1.06815977]
 [0.917      0.536      0.         0.         1.07290014]
 [0.919      0.54       0.         0.         1.07716323]
 [0.921      0.544      0.         0.         1.08192331]
 [0.923      0.548      0.         0.         1.08669201]]",[[0.2   0.191]]
"[[0.917      0.536      0.         0.         1.07290014]
 [0.919      0.54       0.         0.         1.07716323]
 [0.921      0.544      0.         0.         1.08192331]
 [0.923      0.548      0.         0.         1.08669201]
 [0.926      0.553      0.         0.         1.09146934]]",[[0.2   0.191]]
"[[0.919      0.54       0.         0.         1.07716323]
 [0.921      0.544      0.         0.         1.08192331]
 [0.923      0.548      0.         0.         1.08669201]
 [0.926      0.553      0.         0.         1.09146934]
 [0.928      0.557      0.         0.         1.09625528]]",[[0.2   0.191]]
"[[0.921      0.544      0.         0.         1.08192331]
 [0.923      0.548      0.         0.         1.08669201]
 [0.926      0.553      0.         0.         1.09146934]
 [0.928      0.557      0.         0.         1.09625528]
 [0.93       0.561      0.         0.         1.10057617]]",[[0.2   0.191]]
"[[0.923      0.548      0.         0.         1.08669201]
 [0.926      0.553      0.         0.         1.09146934]
 [0.928      0.557      0.         0.         1.09625528]
 [0.93       0.561      0.         0.         1.10057617]
 [0.932      0.566      0.         0.         1.10538205]]",[[0.2   0.191]]
"[[0.926      0.553      0.         0.         1.09146934]
 [0.928      0.557      0.         0.         1.09625528]
 [0.93       0.561      0.         0.         1.10057617]
 [0.932      0.566      0.         0.         1.10538205]
 [0.935      0.57       0.         0.         1.11019654]]",[[0.2   0.191]]
"[[0.928      0.557      0.         0.         1.09625528]
 [0.93       0.561      0.         0.         1.10057617]
 [0.932      0.566      0.         0.         1.10538205]
 [0.935      0.57       0.         0.         1.11019654]
 [0.937      0.574      0.         0.         1.11501961]]",[[0.2   0.191]]
"[[0.93       0.561      0.         0.         1.10057617]
 [0.932      0.566      0.         0.         1.10538205]
 [0.935      0.57       0.         0.         1.11019654]
 [0.937      0.574      0.         0.         1.11501961]
 [0.939      0.579      0.         0.         1.11985124]]",[[0.2   0.191]]
"[[0.932      0.566      0.         0.         1.10538205]
 [0.935      0.57       0.         0.         1.11019654]
 [0.937      0.574      0.         0.         1.11501961]
 [0.939      0.579      0.         0.         1.11985124]
 [0.941      0.583      0.         0.         1.12423142]]",[[0.2   0.191]]
"[[0.935      0.57       0.         0.         1.11019654]
 [0.937      0.574      0.         0.         1.11501961]
 [0.939      0.579      0.         0.         1.11985124]
 [0.941      0.583      0.         0.         1.12423142]
 [0.943      0.588      0.         0.         1.12908316]]",[[0.2   0.191]]
"[[0.937      0.574      0.         0.         1.11501961]
 [0.939      0.579      0.         0.         1.11985124]
 [0.941      0.583      0.         0.         1.12423142]
 [0.943      0.588      0.         0.         1.12908316]
 [0.945      0.592      0.         0.         1.13394344]]",[[0.2   0.191]]
"[[0.939      0.579      0.         0.         1.11985124]
 [0.941      0.583      0.         0.         1.12423142]
 [0.943      0.588      0.         0.         1.12908316]
 [0.945      0.592      0.         0.         1.13394344]
 [0.947      0.596      0.         0.         1.13881221]]",[[0.2   0.191]]
"[[0.941      0.583      0.         0.         1.12423142]
 [0.943      0.588      0.         0.         1.12908316]
 [0.945      0.592      0.         0.         1.13394344]
 [0.947      0.596      0.         0.         1.13881221]
 [0.949      0.601      0.         0.         1.14324123]]",[[0.2   0.191]]
"[[0.943      0.588      0.         0.         1.12908316]
 [0.945      0.592      0.         0.         1.13394344]
 [0.947      0.596      0.         0.         1.13881221]
 [0.949      0.601      0.         0.         1.14324123]
 [0.951      0.605      0.         0.         1.14546104]]",[[0.2   0.191]]
"[[0.945      0.592      0.         0.         1.13394344]
 [0.947      0.596      0.         0.         1.13881221]
 [0.949      0.601      0.         0.         1.14324123]
 [0.951      0.605      0.         0.         1.14546104]
 [0.953      0.61       0.         0.         1.15035592]]",[[0.2   0.191]]
"[[0.947      0.596      0.         0.         1.13881221]
 [0.949      0.601      0.         0.         1.14324123]
 [0.951      0.605      0.         0.         1.14546104]
 [0.953      0.61       0.         0.         1.15035592]
 [0.955      0.614      0.         0.         1.15525925]]",[[0.2   0.191]]
"[[0.949      0.601      0.         0.         1.14324123]
 [0.951      0.605      0.         0.         1.14546104]
 [0.953      0.61       0.         0.         1.15035592]
 [0.955      0.614      0.         0.         1.15525925]
 [0.957      0.619      0.         0.         1.15973328]]",[[0.2   0.191]]
"[[0.951      0.605      0.         0.         1.14546104]
 [0.953      0.61       0.         0.         1.15035592]
 [0.955      0.614      0.         0.         1.15525925]
 [0.957      0.619      0.         0.         1.15973328]
 [0.959      0.623      0.         0.         1.16465692]]",[[0.2   0.191]]
"[[0.953      0.61       0.         0.         1.15035592]
 [0.955      0.614      0.         0.         1.15525925]
 [0.957      0.619      0.         0.         1.15973328]
 [0.959      0.623      0.         0.         1.16465692]
 [0.961      0.627      0.         0.         1.16958895]]",[[0.2   0.191]]
"[[0.955      0.614      0.         0.         1.15525925]
 [0.957      0.619      0.         0.         1.15973328]
 [0.959      0.623      0.         0.         1.16465692]
 [0.961      0.627      0.         0.         1.16958895]
 [0.963      0.632      0.         0.         1.17410143]]",[[0.2   0.191]]
"[[0.957      0.619      0.         0.         1.15973328]
 [0.959      0.623      0.         0.         1.16465692]
 [0.961      0.627      0.         0.         1.16958895]
 [0.963      0.632      0.         0.         1.17410143]
 [0.965      0.636      0.         0.         1.17905378]]",[[0.2   0.191]]
"[[0.959      0.623      0.         0.         1.16465692]
 [0.961      0.627      0.         0.         1.16958895]
 [0.963      0.632      0.         0.         1.17410143]
 [0.965      0.636      0.         0.         1.17905378]
 [0.966      0.641      0.         0.         1.18401444]]",[[0.2   0.191]]
"[[0.961      0.627      0.         0.         1.16958895]
 [0.963      0.632      0.         0.         1.17410143]
 [0.965      0.636      0.         0.         1.17905378]
 [0.966      0.641      0.         0.         1.18401444]
 [0.968      0.645      0.         0.         1.18898334]]",[[0.2   0.191]]
"[[0.963      0.632      0.         0.         1.17410143]
 [0.965      0.636      0.         0.         1.17905378]
 [0.966      0.641      0.         0.         1.18401444]
 [0.968      0.645      0.         0.         1.18898334]
 [0.97       0.65       0.         0.         1.19354678]]",[[0.2   0.191]]
"[[0.965      0.636      0.         0.         1.17905378]
 [0.966      0.641      0.         0.         1.18401444]
 [0.968      0.645      0.         0.         1.18898334]
 [0.97       0.65       0.         0.         1.19354678]
 [0.972      0.654      0.         0.         1.19853594]]",[[0.2   0.191]]
"[[0.966      0.641      0.         0.         1.18401444]
 [0.968      0.645      0.         0.         1.18898334]
 [0.97       0.65       0.         0.         1.19354678]
 [0.972      0.654      0.         0.         1.19853594]
 [0.974      0.659      0.         0.         1.20353324]]",[[0.2   0.191]]
"[[0.968      0.645      0.         0.         1.18898334]
 [0.97       0.65       0.         0.         1.19354678]
 [0.972      0.654      0.         0.         1.19853594]
 [0.974      0.659      0.         0.         1.20353324]
 [0.975      0.664      0.         0.         1.20813602]]",[[0.2   0.191]]
"[[0.97       0.65       0.         0.         1.19354678]
 [0.972      0.654      0.         0.         1.19853594]
 [0.974      0.659      0.         0.         1.20353324]
 [0.975      0.664      0.         0.         1.20813602]
 [0.977      0.668      0.         0.         1.21044316]]",[[0.2   0.191]]
"[[0.972      0.654      0.         0.         1.19853594]
 [0.974      0.659      0.         0.         1.20353324]
 [0.975      0.664      0.         0.         1.20813602]
 [0.977      0.668      0.         0.         1.21044316]
 [0.979      0.673      0.         0.         1.21546672]]",[[0.2   0.191]]
"[[0.974      0.659      0.         0.         1.20353324]
 [0.975      0.664      0.         0.         1.20813602]
 [0.977      0.668      0.         0.         1.21044316]
 [0.979      0.673      0.         0.         1.21546672]
 [0.98       0.677      0.         0.         1.22010477]]",[[0.2   0.191]]
"[[0.975      0.664      0.         0.         1.20813602]
 [0.977      0.668      0.         0.         1.21044316]
 [0.979      0.673      0.         0.         1.21546672]
 [0.98       0.677      0.         0.         1.22010477]
 [0.982      0.682      0.         0.         1.22514852]]",[[0.2   0.191]]
"[[0.977      0.668      0.         0.         1.21044316]
 [0.979      0.673      0.         0.         1.21546672]
 [0.98       0.677      0.         0.         1.22010477]
 [0.982      0.682      0.         0.         1.22514852]
 [0.984      0.686      0.         0.         1.2302002 ]]",[[0.2   0.191]]
"[[0.979      0.673      0.         0.         1.21546672]
 [0.98       0.677      0.         0.         1.22010477]
 [0.982      0.682      0.         0.         1.22514852]
 [0.984      0.686      0.         0.         1.2302002 ]
 [0.985      0.691      0.         0.         1.23487828]]",[[0.2   0.191]]
"[[0.98       0.677      0.         0.         1.22010477]
 [0.982      0.682      0.         0.         1.22514852]
 [0.984      0.686      0.         0.         1.2302002 ]
 [0.985      0.691      0.         0.         1.23487828]
 [0.987      0.695      0.         0.         1.23995   ]]",[[0.202 0.197]]
"[[0.982      0.682      0.         0.         1.22514852]
 [0.984      0.686      0.         0.         1.2302002 ]
 [0.985      0.691      0.         0.         1.23487828]
 [0.987      0.695      0.         0.         1.23995   ]
 [0.989      0.7        0.         0.         1.24502948]]",[[0.2   0.191]]
"[[0.984      0.686      0.         0.         1.2302002 ]
 [0.985      0.691      0.         0.         1.23487828]
 [0.987      0.695      0.         0.         1.23995   ]
 [0.989      0.7        0.         0.         1.24502948]
 [0.99       0.705      0.         0.         1.24974782]]",[[0.2   0.191]]
"[[0.985      0.691      0.         0.         1.23487828]
 [0.987      0.695      0.         0.         1.23995   ]
 [0.989      0.7        0.         0.         1.24502948]
 [0.99       0.705      0.         0.         1.24974782]
 [0.992      0.709      0.         0.         1.25211298]]",[[0.2   0.191]]
"[[0.987      0.695      0.         0.         1.23995   ]
 [0.989      0.7        0.         0.         1.24502948]
 [0.99       0.705      0.         0.         1.24974782]
 [0.992      0.709      0.         0.         1.25211298]
 [0.993      0.714      0.         0.         1.25721845]]",[[0.2   0.191]]
"[[0.989      0.7        0.         0.         1.24502948]
 [0.99       0.705      0.         0.         1.24974782]
 [0.992      0.709      0.         0.         1.25211298]
 [0.993      0.714      0.         0.         1.25721845]
 [0.995      0.719      0.         0.         1.26197306]]",[[0.2   0.191]]
"[[0.99       0.705      0.         0.         1.24974782]
 [0.992      0.709      0.         0.         1.25211298]
 [0.993      0.714      0.         0.         1.25721845]
 [0.995      0.719      0.         0.         1.26197306]
 [0.996      0.723      0.         0.         1.2670983 ]]",[[0.2   0.191]]
"[[0.992      0.709      0.         0.         1.25211298]
 [0.993      0.714      0.         0.         1.25721845]
 [0.995      0.719      0.         0.         1.26197306]
 [0.996      0.723      0.         0.         1.2670983 ]
 [0.998      0.728      0.         0.         1.27188134]]",[[0.2   0.191]]
"[[0.993      0.714      0.         0.         1.25721845]
 [0.995      0.719      0.         0.         1.26197306]
 [0.996      0.723      0.         0.         1.2670983 ]
 [0.998      0.728      0.         0.         1.27188134]
 [0.999      0.733      0.         0.         1.27702623]]",[[0.2   0.191]]
"[[0.995      0.719      0.         0.         1.26197306]
 [0.996      0.723      0.         0.         1.2670983 ]
 [0.998      0.728      0.         0.         1.27188134]
 [0.999      0.733      0.         0.         1.27702623]
 [1.         0.737      0.         0.         1.28217843]]",[[0.2   0.191]]
"[[0.996      0.723      0.         0.         1.2670983 ]
 [0.998      0.728      0.         0.         1.27188134]
 [0.999      0.733      0.         0.         1.27702623]
 [1.         0.737      0.         0.         1.28217843]
 [1.002      0.742      0.         0.         1.28700222]]",[[0.2   0.191]]
"[[0.998      0.728      0.         0.         1.27188134]
 [0.999      0.733      0.         0.         1.27702623]
 [1.         0.737      0.         0.         1.28217843]
 [1.002      0.742      0.         0.         1.28700222]
 [1.003      0.746      0.         0.         1.28942028]]",[[0.2   0.191]]
"[[0.999      0.733      0.         0.         1.27702623]
 [1.         0.737      0.         0.         1.28217843]
 [1.002      0.742      0.         0.         1.28700222]
 [1.003      0.746      0.         0.         1.28942028]
 [1.004      0.751      0.         0.         1.29459793]]",[[0.2   0.192]]
"[[1.         0.737      0.         0.         1.28217843]
 [1.002      0.742      0.         0.         1.28700222]
 [1.003      0.746      0.         0.         1.28942028]
 [1.004      0.751      0.         0.         1.29459793]
 [1.006      0.756      0.         0.         1.29945861]]",[[0.2   0.192]]
"[[1.002      0.742      0.         0.         1.28700222]
 [1.003      0.746      0.         0.         1.28942028]
 [1.004      0.751      0.         0.         1.29459793]
 [1.006      0.756      0.         0.         1.29945861]
 [1.007      0.761      0.         0.         1.30465545]]",[[0.2   0.192]]
"[[1.003      0.746      0.         0.         1.28942028]
 [1.004      0.751      0.         0.         1.29459793]
 [1.006      0.756      0.         0.         1.29945861]
 [1.007      0.761      0.         0.         1.30465545]
 [1.008      0.765      0.         0.         1.30954488]]",[[0.2   0.192]]
"[[1.004      0.751      0.         0.         1.29459793]
 [1.006      0.756      0.         0.         1.29945861]
 [1.007      0.761      0.         0.         1.30465545]
 [1.008      0.765      0.         0.         1.30954488]
 [1.01       0.77       0.         0.         1.3147607 ]]",[[0.2   0.192]]
"[[1.006      0.756      0.         0.         1.29945861]
 [1.007      0.761      0.         0.         1.30465545]
 [1.008      0.765      0.         0.         1.30954488]
 [1.01       0.77       0.         0.         1.3147607 ]
 [1.011      0.775      0.         0.         1.31967893]]",[[0.2   0.192]]
"[[1.007      0.761      0.         0.         1.30465545]
 [1.008      0.765      0.         0.         1.30954488]
 [1.01       0.77       0.         0.         1.3147607 ]
 [1.011      0.775      0.         0.         1.31967893]
 [1.012      0.779      0.         0.         1.32214433]]",[[0.2   0.192]]
"[[1.008      0.765      0.         0.         1.30954488]
 [1.01       0.77       0.         0.         1.3147607 ]
 [1.011      0.775      0.         0.         1.31967893]
 [1.012      0.779      0.         0.         1.32214433]
 [1.013      0.784      0.         0.         1.32738494]]",[[0.2   0.192]]
"[[1.01       0.77       0.         0.         1.3147607 ]
 [1.011      0.775      0.         0.         1.31967893]
 [1.012      0.779      0.         0.         1.32214433]
 [1.013      0.784      0.         0.         1.32738494]
 [1.014      0.789      0.         0.         1.3323404 ]]",[[0.2   0.192]]
"[[1.011      0.775      0.         0.         1.31967893]
 [1.012      0.779      0.         0.         1.32214433]
 [1.013      0.784      0.         0.         1.32738494]
 [1.014      0.789      0.         0.         1.3323404 ]
 [1.015      0.794      0.         0.         1.33759951]]",[[0.2   0.192]]
"[[1.012      0.779      0.         0.         1.32214433]
 [1.013      0.784      0.         0.         1.32738494]
 [1.014      0.789      0.         0.         1.3323404 ]
 [1.015      0.794      0.         0.         1.33759951]
 [1.017      0.798      0.         0.         1.34258383]]",[[0.2   0.192]]
"[[1.013      0.784      0.         0.         1.32738494]
 [1.014      0.789      0.         0.         1.3323404 ]
 [1.015      0.794      0.         0.         1.33759951]
 [1.017      0.798      0.         0.         1.34258383]
 [1.018      0.803      0.         0.         1.34786117]]",[[0.2   0.192]]
"[[1.014      0.789      0.         0.         1.3323404 ]
 [1.015      0.794      0.         0.         1.33759951]
 [1.017      0.798      0.         0.         1.34258383]
 [1.018      0.803      0.         0.         1.34786117]
 [1.019      0.808      0.         0.         1.35009211]]",[[0.2   0.192]]
"[[1.015      0.794      0.         0.         1.33759951]
 [1.017      0.798      0.         0.         1.34258383]
 [1.018      0.803      0.         0.         1.34786117]
 [1.019      0.808      0.         0.         1.35009211]
 [1.02       0.812      0.         0.         1.35538728]]",[[0.2   0.192]]
"[[1.017      0.798      0.         0.         1.34258383]
 [1.018      0.803      0.         0.         1.34786117]
 [1.019      0.808      0.         0.         1.35009211]
 [1.02       0.812      0.         0.         1.35538728]
 [1.021      0.817      0.         0.         1.36042595]]",[[0.2   0.192]]
"[[1.018      0.803      0.         0.         1.34786117]
 [1.019      0.808      0.         0.         1.35009211]
 [1.02       0.812      0.         0.         1.35538728]
 [1.021      0.817      0.         0.         1.36042595]
 [1.022      0.822      0.         0.         1.36573892]]",[[0.2   0.193]]
"[[1.019      0.808      0.         0.         1.35009211]
 [1.02       0.812      0.         0.         1.35538728]
 [1.021      0.817      0.         0.         1.36042595]
 [1.022      0.822      0.         0.         1.36573892]
 [1.023      0.827      0.         0.         1.37080644]]",[[0.2   0.193]]
"[[1.02       0.812      0.         0.         1.35538728]
 [1.021      0.817      0.         0.         1.36042595]
 [1.022      0.822      0.         0.         1.36573892]
 [1.023      0.827      0.         0.         1.37080644]
 [1.024      0.831      0.         0.         1.37334662]]",[[0.2   0.193]]
"[[1.021      0.817      0.         0.         1.36042595]
 [1.022      0.822      0.         0.         1.36573892]
 [1.023      0.827      0.         0.         1.37080644]
 [1.024      0.831      0.         0.         1.37334662]
 [1.025      0.836      0.         0.         1.37843982]]",[[0.2   0.193]]
"[[1.022      0.822      0.         0.         1.36573892]
 [1.023      0.827      0.         0.         1.37080644]
 [1.024      0.831      0.         0.         1.37334662]
 [1.025      0.836      0.         0.         1.37843982]
 [1.026      0.841      0.         0.         1.38378774]]",[[0.2   0.193]]
"[[1.023      0.827      0.         0.         1.37080644]
 [1.024      0.831      0.         0.         1.37334662]
 [1.025      0.836      0.         0.         1.37843982]
 [1.026      0.841      0.         0.         1.38378774]
 [1.026      0.846      0.         0.         1.38914108]]",[[0.2   0.193]]
"[[1.024      0.831      0.         0.         1.37334662]
 [1.025      0.836      0.         0.         1.37843982]
 [1.026      0.841      0.         0.         1.38378774]
 [1.026      0.846      0.         0.         1.38914108]
 [1.027      0.851      0.         0.         1.39427458]]",[[0.2   0.193]]
"[[1.025      0.836      0.         0.         1.37843982]
 [1.026      0.841      0.         0.         1.38378774]
 [1.026      0.846      0.         0.         1.38914108]
 [1.027      0.851      0.         0.         1.39427458]
 [1.028      0.855      0.         0.         1.39662495]]",[[0.2   0.193]]
"[[1.026      0.841      0.         0.         1.38378774]
 [1.026      0.846      0.         0.         1.38914108]
 [1.027      0.851      0.         0.         1.39427458]
 [1.028      0.855      0.         0.         1.39662495]
 [1.029      0.86       0.         0.         1.402007  ]]",[[0.2   0.193]]
"[[1.026      0.846      0.         0.         1.38914108]
 [1.027      0.851      0.         0.         1.39427458]
 [1.028      0.855      0.         0.         1.39662495]
 [1.029      0.86       0.         0.         1.402007  ]
 [1.03       0.865      0.         0.         1.40739407]]",[[0.2   0.193]]
"[[1.027      0.851      0.         0.         1.39427458]
 [1.028      0.855      0.         0.         1.39662495]
 [1.029      0.86       0.         0.         1.402007  ]
 [1.03       0.865      0.         0.         1.40739407]
 [1.031      0.87       0.         0.         1.41258182]]",[[0.2   0.194]]
"[[1.028      0.855      0.         0.         1.39662495]
 [1.029      0.86       0.         0.         1.402007  ]
 [1.03       0.865      0.         0.         1.40739407]
 [1.031      0.87       0.         0.         1.41258182]
 [1.031      0.875      0.         0.         1.41778674]]",[[0.2   0.194]]
"[[1.029      0.86       0.         0.         1.402007  ]
 [1.03       0.865      0.         0.         1.40739407]
 [1.031      0.87       0.         0.         1.41258182]
 [1.031      0.875      0.         0.         1.41778674]
 [1.032      0.879      0.         0.         1.42039565]]",[[0.2   0.194]]
"[[1.03       0.865      0.         0.         1.40739407]
 [1.031      0.87       0.         0.         1.41258182]
 [1.031      0.875      0.         0.         1.41778674]
 [1.032      0.879      0.         0.         1.42039565]
 [1.033      0.884      0.         0.         1.42562638]]",[[0.2   0.194]]
"[[1.031      0.87       0.         0.         1.41258182]
 [1.031      0.875      0.         0.         1.41778674]
 [1.032      0.879      0.         0.         1.42039565]
 [1.033      0.884      0.         0.         1.42562638]
 [1.034      0.889      0.         0.         1.43105726]]",[[0.2   0.195]]
"[[1.031      0.875      0.         0.         1.41778674]
 [1.032      0.879      0.         0.         1.42039565]
 [1.033      0.884      0.         0.         1.42562638]
 [1.034      0.889      0.         0.         1.43105726]
 [1.034      0.894      0.         0.         1.43631622]]",[[0.203 0.18 ]]
"[[1.032      0.879      0.         0.         1.42039565]
 [1.033      0.884      0.         0.         1.42562638]
 [1.034      0.889      0.         0.         1.43105726]
 [1.034      0.894      0.         0.         1.43631622]
 [1.035      0.899      0.         0.         1.43895213]]",[[0.2   0.195]]
"[[1.033      0.884      0.         0.         1.42562638]
 [1.034      0.889      0.         0.         1.43105726]
 [1.034      0.894      0.         0.         1.43631622]
 [1.035      0.899      0.         0.         1.43895213]
 [1.035      0.903      0.         0.         1.44423686]]",[[0.2   0.194]]
"[[1.034      0.889      0.         0.         1.43105726]
 [1.034      0.894      0.         0.         1.43631622]
 [1.035      0.899      0.         0.         1.43895213]
 [1.035      0.903      0.         0.         1.44423686]
 [1.036      0.908      0.         0.         1.44969909]]",[[0.2   0.195]]
"[[1.034      0.894      0.         0.         1.43631622]
 [1.035      0.899      0.         0.         1.43895213]
 [1.035      0.903      0.         0.         1.44423686]
 [1.036      0.908      0.         0.         1.44969909]
 [1.037      0.913      0.         0.         1.4550117 ]]",[[0.2   0.195]]
"[[1.035      0.899      0.         0.         1.43895213]
 [1.035      0.903      0.         0.         1.44423686]
 [1.036      0.908      0.         0.         1.44969909]
 [1.037      0.913      0.         0.         1.4550117 ]
 [1.037      0.918      0.         0.         1.46034143]]",[[0.2   0.195]]
"[[1.035      0.903      0.         0.         1.44423686]
 [1.036      0.908      0.         0.         1.44969909]
 [1.037      0.913      0.         0.         1.4550117 ]
 [1.037      0.918      0.         0.         1.46034143]
 [1.038      0.923      0.         0.         1.46301271]]",[[0.2   0.195]]
"[[1.036      0.908      0.         0.         1.44969909]
 [1.037      0.913      0.         0.         1.4550117 ]
 [1.037      0.918      0.         0.         1.46034143]
 [1.038      0.923      0.         0.         1.46301271]
 [1.038      0.928      0.         0.         1.4683681 ]]",[[0.2   0.195]]
"[[1.037      0.913      0.         0.         1.4550117 ]
 [1.037      0.918      0.         0.         1.46034143]
 [1.038      0.923      0.         0.         1.46301271]
 [1.038      0.928      0.         0.         1.4683681 ]
 [1.039      0.932      0.         0.         1.47387074]]",[[0.2   0.195]]
"[[1.037      0.918      0.         0.         1.46034143]
 [1.038      0.923      0.         0.         1.46301271]
 [1.038      0.928      0.         0.         1.4683681 ]
 [1.039      0.932      0.         0.         1.47387074]
 [1.039      0.937      0.         0.         1.47925349]]",[[0.2   0.195]]
"[[1.038      0.923      0.         0.         1.46301271]
 [1.038      0.928      0.         0.         1.4683681 ]
 [1.039      0.932      0.         0.         1.47387074]
 [1.039      0.937      0.         0.         1.47925349]
 [1.04       0.942      0.         0.         1.48195124]]",[[0.2   0.195]]
"[[1.038      0.928      0.         0.         1.4683681 ]
 [1.039      0.932      0.         0.         1.47387074]
 [1.039      0.937      0.         0.         1.47925349]
 [1.04       0.942      0.         0.         1.48195124]
 [1.04       0.947      0.         0.         1.48735946]]",[[0.2   0.196]]
"[[1.039      0.932      0.         0.         1.47387074]
 [1.039      0.937      0.         0.         1.47925349]
 [1.04       0.942      0.         0.         1.48195124]
 [1.04       0.947      0.         0.         1.48735946]
 [1.04       0.952      0.         0.         1.49278463]]",[[0.2   0.196]]
